Ref_area;REF_AREA;date;obsValue
États-Unis;USA;1998-07-01;142,2142528916079
Allemagne;DEU;1998-07-01;101,5564201325531
France;FRA;1998-07-01;113,1140687750140
Europe;EU27;1998-08-01;108,2632948021045
Italie;ITA;1998-08-01;109,3109552725352
États-Unis;USA;1998-08-01;145,6774448865188
Allemagne;DEU;1998-08-01;99,6109014503247
France;FRA;1998-08-01;110,2888056334341
Europe;EU27;1998-09-01;108,5434143923192
Italie;ITA;1998-09-01;111,1731814170394
États-Unis;USA;1998-09-01;145,4956820073556
Allemagne;DEU;1998-09-01;98,7029832228724
France;FRA;1998-09-01;112,1758304114515
Europe;EU27;1998-10-01;108,6834612369138
Italie;ITA;1998-10-01;110,8007010981415
États-Unis;USA;1998-10-01;146,7596821643437
Allemagne;DEU;1998-10-01;99,3514980948992
France;FRA;1998-10-01;111,7224794894227
Europe;EU27;1998-11-01;108,1232479575099
Italie;ITA;1998-11-01;110,6144609386925
États-Unis;USA;1998-11-01;146,9535135099778
Allemagne;DEU;1998-11-01;97,9247731565959
France;FRA;1998-11-01;112,1336382078818
Europe;EU27;1998-12-01;106,3025094726525
Italie;ITA;1998-12-01;103,4450481873385
États-Unis;USA;1998-12-01;147,7921411062107
Allemagne;DEU;1998-12-01;98,4435798674469
France;FRA;1998-12-01;111,3536206077055
Europe;EU27;1999-01-01;109,2436874668305
Italie;ITA;1999-01-01;109,7765118086613
États-Unis;USA;1999-01-01;148,1832215610185
Allemagne;DEU;1999-01-01;100,1297081611758
France;FRA;1999-01-01;112,5869891299107
Europe;EU27;1999-02-01;107,4229619324858
Italie;ITA;1999-02-01;108,6591585769603
États-Unis;USA;1999-02-01;149,4661257115571
Allemagne;DEU;1999-02-01;98,1841765120214
France;FRA;1999-02-01;111,0794789176752
Europe;EU27;1999-03-01;108,1232479575099
Italie;ITA;1999-03-01;108,7523225191811
États-Unis;USA;1999-03-01;149,4700504161004
Allemagne;DEU;1999-03-01;98,8326913840482
France;FRA;1999-03-01;111,4695415343496
Europe;EU27;1999-04-01;108,4033545972118
Italie;ITA;1999-04-01;108,3798422002832
États-Unis;USA;1999-04-01;149,9861163576779
Allemagne;DEU;1999-04-01;99,3514980948992
France;FRA;1999-04-01;112,7029100565548
Europe;EU27;1999-05-01;108,9635808271285
Italie;ITA;1999-05-01;107,6349692874801
États-Unis;USA;1999-05-01;151,1771824219025
Allemagne;DEU;1999-05-01;100,2594033554255
France;FRA;1999-05-01;113,2932780070125
Europe;EU27;1999-06-01;109,6638539016398
Italie;ITA;1999-06-01;109,3109552725352
États-Unis;USA;1999-06-01;150,8214897197270
Allemagne;DEU;1999-06-01;100,2594033554255
France;FRA;1999-06-01;114,5582906818949
Europe;EU27;1999-07-01;110,5041997217712
Italie;ITA;1999-07-01;110,0558281853383
États-Unis;USA;1999-07-01;151,4589435022428
Allemagne;DEU;1999-07-01;100,9079182274523
France;FRA;1999-07-01;114,8113362701403
Europe;EU27;1999-08-01;110,3641399266638
Italie;ITA;1999-08-01;110,2420683447873
